cname,ccodealp,ccode,year,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wbgi_vae,vdem_corr,ti_cpi,icrg_qog,fh_status,fh_pr,fh_cl,p_polity2,vdem_polyarchy,wdi_trade,wdi_taxrev,pwt_pop,mad_gdppc,wdi_lifexp,wdi_pop,wdi_fertility,wdi_expedu,wdi_gini,wdi_empagr,wdi_internet,wdi_mobile,wdi_co2,wdi_forest,wdi_migration,vdem_libdem,vdem_partip,vdem_delibdem,vdem_egal,br_pvote,ucdp_type4
Tajikistan,TJK,762.0,2020,-1.3452265,-0.75922585,-0.5000745,-1.2505895,-1.0720577,-1.7779249,0.832,25.0,,3.0,7.0,6.0,,0.172,55.74910401949539,,,4828.393755925144,67.994,9543207.0,3.237,5.73725271224976,,44.8176181249329,27.5441,121.3847714,0.9833696366431116,3.053534116290799,-3564.0,0.044,0.156,0.054,0.194,0.0,
Thailand,THA,764.0,2020,-0.48381177,0.20181254,-0.5782705,0.11150539,0.063660756,-0.8092619,0.708,36.0,0.4166666666666667,3.0,7.0,5.0,,0.192,97.8007432465178,14.457740249558992,,15815.91485952924,79.274,71475664.0,1.341,3.15314173698425,35.0,31.3894709947006,77.8437,162.7043297,3.837657247927071,38.89878447415295,35526.0,0.177,0.339,0.053,0.477,0.0,0.0
Togo,TGO,768.0,2020,-0.7301524,-0.73015684,-0.8906981,-0.6741498,-0.66430193,-0.7506116,0.73,29.0,0.2777777777777777,2.0,5.0,4.0,,0.457,55.548538560863946,12.866605254742527,,1482.751495313325,61.035,8442580.0,4.323,4.09133672714233,,31.8040709820057,29.0237,77.18623928,0.2576582040087272,22.233314947600665,-995.0,0.256,0.525,0.378,0.721,1.0,4.0
Tonga,TON,776.0,2020,-0.34388265,0.27698746,1.087379,0.494495,-0.3804051,0.6893577,,,,1.0,2.0,2.0,,,85.53402288669515,21.303307558716803,,,70.928,105254.0,3.267,4.86051654815674,,28.7541650194838,66.64843101,58.90512475,1.4897296064757632,12.430555555555555,-948.0,,,,,0.0,
Trinidad and Tobago,TTO,780.0,2020,-0.16006164,0.17396727,0.11041409,-0.17046571,-0.17774817,0.64114344,0.089,40.0,0.4930555555555555,1.0,2.0,2.0,,0.756,,,,25548.510398614617,74.406,1518147.0,1.631,4.2576699256897,,3.07228336244691,77.2813,130.9488475,19.388768017853344,44.48148148148148,2370.0,0.639,0.561,0.683,0.796,0.0,
United Arab Emirates (the),ARE,784.0,2020,1.083614,1.2852669,0.59260535,0.87513596,1.074331,-1.1780663,0.112,71.0,0.6944444444444443,3.0,7.0,6.0,,0.101,166.57189932529067,0.6820882744790577,,70188.27272782834,78.946,9287289.0,1.46,3.98417997360229,,1.78329799635895,100.0,197.8438703,21.64270972939466,4.467755561813574,-2762.0,0.09,0.126,0.082,0.503,0.0,1.0
Tunisia,TUN,788.0,2020,-0.11535425,-0.1864251,-0.5943258,0.14153448,-0.30348924,0.2837476,0.376,44.0,0.6527777777777778,1.0,2.0,3.0,,0.709,84.33325913665188,,,10354.23909638127,75.292,12161723.0,2.114,7.26507568359375,,14.5174226869207,68.5564,122.1279008,2.359583424157909,4.523236354273945,-9189.0,0.621,0.612,0.634,0.805,1.0,4.0
Turkey,TUR,792.0,2020,-0.361754,-0.15879776,-1.1438826,-0.418659,-0.024792725,-0.8605945,0.857,40.0,0.4722222222222222,3.0,5.0,6.0,,0.289,61.34375509847545,17.699692062362832,,23721.88049784061,75.85,83384680.0,1.917,4.03382015228271,43.0,17.5538293565209,77.6696,97.61417509,5.097974831827622,28.87148369995972,-80952.0,0.119,0.465,0.102,0.601,1.0,3.0
Turkmenistan,TKM,795.0,2020,-1.4345784,-1.02377,-0.20164081,-1.4000274,-2.0545983,-2.0278616,0.914,19.0,,3.0,7.0,7.0,,0.151,35.936593852696696,,,16580.840638801958,68.687,6250438.0,2.701,3.76267004013062,,23.4396917847548,,98.62952004,10.651173565756512,8.782159044964144,-4502.0,0.034,0.071,0.034,0.266,0.0,
Tuvalu,TUV,798.0,2020,0.48449427,-0.43325123,1.2212518,0.6524605,-0.3173618,1.1739602,,,,1.0,1.0,1.0,,,,,,,64.382,11069.0,3.188,,,,75.4424,81.30815792,0.0,33.33333333333333,-15.0,,,,,0.0,
Uganda,UGA,800.0,2020,-1.0658922,-0.6164961,-0.8110389,-0.3455742,-0.48221445,-0.71228814,0.764,27.0,0.4444444444444445,3.0,6.0,5.0,,0.295,37.0006923916369,11.391163306529483,,2032.2618824050692,62.851,44404611.0,4.693,2.57222175598145,,67.9025520668588,7.4,62.35610757,0.151423463657862,11.659186116098144,43465.0,0.217,0.498,0.256,0.4,0.0,1.0
Ukraine,UKR,804.0,2020,-0.8326286,-0.41009113,-1.1639365,-0.71314436,-0.26694334,0.088904954,0.686,33.0,0.4444444444444444,2.0,3.0,4.0,,0.546,79.15645237618149,19.151400299287594,,9769.827945690837,71.18512195121953,44207754.0,1.217,5.38231992721558,25.6,15.2704370126983,75.0379,129.3411657,4.343441650530357,16.724197445633415,-2173.0,0.322,0.571,0.442,0.65,1.0,4.0
North Macedonia,MKD,807.0,2020,-0.49426916,0.02825786,0.11206054,-0.106092595,0.43572605,0.055444367,0.667,35.0,,2.0,3.0,3.0,,0.595,128.24124432225676,15.919459596431986,,13125.830528042296,74.39512195121951,1856124.0,1.31,,,11.5541453362714,81.4055,88.20817101,4.090190095058304,39.7101506740682,-486.0,0.405,0.633,0.444,0.624,1.0,
Egypt,EGY,818.0,2020,-0.8104336,-0.4461716,-1.1819328,-0.31748307,-0.57103115,-1.4818922,0.741,33.0,0.4861111111111111,3.0,6.0,6.0,,0.176,32.12625556675226,,,12234.503481702748,70.99,107465134.0,2.96,,,20.3791302322271,71.9142,88.73336258,2.123163034440547,0.0451855944547692,4476.0,0.121,0.197,0.112,0.311,1.0,4.0
United Kingdom of Great Britain and Northern Ireland (the),GBR,826.0,2020,1.6602012,1.3321542,0.48305026,1.4639643,1.4740239,1.2315705,0.046,77.0,0.888888888888889,1.0,1.0,1.0,,0.874,58.77455937590291,24.771989385483355,,34651.183049111096,80.35121951219514,67081234.0,1.56,5.43935012817383,32.6,1.0340351380375,94.8182,117.8163133,4.778406431819666,13.185632207663373,211063.0,0.804,0.683,0.755,0.832,0.0,3.0
"Tanzania, the United Republic of",TZA,834.0,2020,-0.4057536,-0.7392724,-0.48080766,-0.615206,-0.68933517,-0.7352414,0.231,38.0,0.4560185185185185,2.0,5.0,5.0,,0.389,27.963015196988355,11.626768854352171,,2948.4724897505207,66.408,61704518.0,4.795,3.23097252845764,,65.793949703467,25.6424,83.00888599,0.241659776031311,51.64258297584104,-15795.0,0.345,0.56,0.335,0.77,0.0,8.0
United States of America (the),USA,840.0,2020,1.0378319,1.2745932,-0.027899733,1.3364937,1.2384375,0.85626566,0.084,67.0,0.8101851851851851,1.0,2.0,2.0,5.0,0.811,23.10475332915943,10.211202483708869,,54379.20651245575,76.98048780487805,331526933.0,1.6415,5.39998006820679,39.7,1.74639347557255,96.5768,104.9353748,13.473208223477878,33.86692641203749,675560.0,0.729,0.658,0.6,0.743,0.0,10.0
Burkina Faso,BFA,854.0,2020,-0.122198515,-0.70810664,-1.5379784,-0.4687186,-0.48270035,-0.1894398,0.435,40.0,0.4166666666666667,2.0,4.0,4.0,,0.659,60.73977864627748,13.43158626786681,,1638.827886419169,59.731,21522626.0,4.869,5.15086507797241,,74.8001390763192,15.5971,102.7626369,0.2390228775986722,22.720760233918128,-5665.0,0.485,0.531,0.541,0.578,1.0,6.0
Uruguay,URY,858.0,2020,1.3646667,0.73021096,1.0549643,0.647405,0.68718004,1.3067704,0.058,71.0,0.5833333333333334,1.0,1.0,1.0,,0.87,46.6861478026171,18.51487175337592,,18460.03834921669,78.43,3429086.0,1.477,4.54292011260986,40.2,8.01133922406288,85.471,132.7256301,2.010973186440935,11.604388069934863,-1486.0,0.812,0.777,0.758,0.872,1.0,
Uzbekistan,UZB,860.0,2020,-1.0734042,-0.6155063,-0.43669805,-1.1178784,-0.99921644,-1.5314761,0.776,26.0,,3.0,7.0,6.0,,0.204,61.83918990347609,14.778202318714392,,11341.919401727711,70.331,34232050.0,2.904,4.94803667068481,,26.8859175817686,71.1,99.58344787,3.513295289063904,8.373221377510495,-39203.0,0.084,0.146,0.175,0.47,1.0,
Venezuela (Bolivarian Republic of),VEN,862.0,2020,-1.5757331,-1.8893757,-1.5518428,-2.331935,-2.2674592,-1.5154667,0.962,15.0,0.2152777777777777,3.0,7.0,6.0,,0.207,,,,4952.529594631958,71.095,28490453.0,2.23,,,11.5434066411809,,58.06789032,2.730911298602378,52.41301513519642,-525142.0,0.057,0.462,0.04,0.34,1.0,
Samoa,WSM,882.0,2020,0.71240264,0.5453189,1.147822,1.0113693,-0.20859048,0.7788638,,,,1.0,2.0,2.0,,,77.48359999581935,24.4164425905469,,,72.768,214929.0,3.997,4.48100519180298,,20.9226679177418,69.9561,32.10362492,1.5540015540015542,58.15467625899281,-1060.0,,,,,0.0,
Yemen,YEM,887.0,2020,-1.7113006,-2.3623755,-2.6477334,-1.7730777,-1.8575217,-1.7636905,0.921,15.0,0.25,3.0,7.0,6.0,,0.115,,,,2031.4436130163915,64.65,32284046.0,3.886,,,30.087213468244,13.8152,47.01393376,0.3563338994127316,1.03983180862549,-86100.0,0.035,0.201,0.027,0.05,,1.0
Zambia,ZMB,894.0,2020,-0.73188186,-0.8246824,-0.1309792,-0.64821726,-0.6877939,-0.42917776,0.412,33.0,0.4189814814814814,2.0,4.0,4.0,,0.329,79.2068494068452,16.418005509091905,,3270.5992234999458,62.38,18927715.0,4.379,3.94964814186096,,59.1117284151064,24.4992,100.932458,0.4351449712762475,60.28333714470197,9015.0,0.263,0.524,0.265,0.406,0.0,5.0
